Close,Volume,PrevDayClose,PrevDayVol,2PrevDayClose,2PrevDayVol,5daySMAclose,5daySMAvol,10daySMAclose,10daySMAvol,30daySMAclose,30daySMAvol,5dayHighClose,5dayLowClose,5dayHighVol,5dayLowVol,10dayHighClose,10dayLowClose,10dayHighVol,10dayLowVol,30dayHighClose,30dayLowClose,30dayHighVol,30dayLowVol,target1dayUP
1790.619995,3139060000,1782,3327480000,1767.689941,3221030000,1776.561987,3211760000,1769.298999,3392194000,1739.535673,3363413333,1790.619995,1767.689941,3837170000,2534060000,1790.619995,1747.150024,4143200000,2534060000,1790.619995,1655.449951,4143200000,2534060000,1
1798.180054,3254820000,1790.619995,3139060000,1782,3327480000,1782.076001,3095290000,1772.953003,3349047000,1743.125008,3375898333,1798.180054,1767.689941,3327480000,2534060000,1798.180054,1747.150024,4143200000,2534060000,1798.180054,1655.449951,4143200000,2534060000,0
1791.530029,3168520000,1798.180054,3254820000,1790.619995,3139060000,1786.004004,3222182000,1775.313,3346412000,1746.972009,3392232667,1798.180054,1767.689941,3327480000,3139060000,1798.180054,1747.150024,4143200000,2534060000,1798.180054,1655.449951,4143200000,2534060000,0
1787.869995,3224450000,1791.530029,3168520000,1798.180054,3254820000,1790.040015,3222866000,1777.803003,3317189000,1751.386011,3380740000,1798.180054,1782,3327480000,3139060000,1798.180054,1747.150024,4143200000,2534060000,1798.180054,1656.400024,4143200000,2534060000,0
1781.369995,3109140000,1787.869995,3224450000,1791.530029,3168520000,1789.914014,3179198000,1778.891003,3295893000,1755.551676,3365116667,1798.180054,1781.369995,3254820000,3109140000,1798.180054,1747.150024,4143200000,2534060000,1798.180054,1692.560059,4143200000,2534060000,1
1795.849976,3256630000,1781.369995,3109140000,1787.869995,3224450000,1790.96001,3202712000,1783.760999,3207236000,1758.994674,3361594333,1798.180054,1781.369995,3256630000,3109140000,1798.180054,1767.689941,3837170000,2534060000,1798.180054,1698.060059,4143200000,2534060000,1
1804.76001,3055140000,1795.849976,3256630000,1781.369995,3109140000,1792.276001,3162776000,1787.176001,3129033000,1762.380009,3365276667,1804.76001,1781.369995,3256630000,3055140000,1804.76001,1767.689941,3327480000,2534060000,1804.76001,1698.060059,4143200000,2534060000,0
1802.47998,2998540000,1804.76001,3055140000,1795.849976,3256630000,1794.465991,3128780000,1790.234998,3175481000,1765.458008,3379208667,1804.76001,1781.369995,3256630000,2998540000,1804.76001,1767.689941,3327480000,2998540000,1804.76001,1698.060059,4143200000,2534060000,1
1802.75,3427120000,1802.47998,2998540000,1804.76001,3055140000,1797.441992,3169314000,1793.741003,3196090000,1768.947673,3382521333,1804.76001,1781.369995,3427120000,2998540000,1804.76001,1781.369995,3427120000,2998540000,1804.76001,1721.540039,4143200000,2534060000,1
1807.22998,2613590000,1802.75,3427120000,1802.47998,2998540000,1802.613989,3070204000,1796.264001,3124701000,1771.804004,3353435000,1807.22998,1795.849976,3427120000,2613590000,1807.22998,1781.369995,3427120000,2613590000,1807.22998,1733.150024,4143200000,2534060000,0
1805.810059,1598300000,1807.22998,2613590000,1802.75,3427120000,1804.606006,2738538000,1797.783008,2970625000,1774.226005,3291592000,1807.22998,1802.47998,3427120000,1598300000,1807.22998,1781.369995,3427120000,1598300000,1807.22998,1744.5,4143200000,1598300000,0
1800.900024,3095430000,1805.810059,1598300000,1807.22998,2613590000,1803.834009,2746596000,1798.055005,2954686000,1776.106006,3272610000,1807.22998,1800.900024,3427120000,1598300000,1807.22998,1781.369995,3427120000,1598300000,1807.22998,1744.660034,4143200000,1598300000,0
